Pk,Tm,Player,Player2,College,Year,Pro_height,Pro_weight,DOB,PreNBA_height,PreNBA_weight
36,POR,ömer-aşık,omer-ask,,2008,84,255,7/4/1986,,
37,MIL,luc-mbah-a-moute,luc-mbah-a-moute,UCLA,2008,80,230,9/9/1986,80,230
38,CHA,kyle-weaver,kyle-weaver,Washington State,2008,78,201,2/18/1986,78,201
39,CHI,sonny-weems,sonny-weems,Arkansas,2008,78,205,7/8/1986,78,203
40,NJN,chris-douglas-roberts,chris-douglas-roberts,Memphis,2008,79,200,1/8/1987,79,200
41,IND,nathan-jawai,nathan-jawai,,2008,82,280,10/10/1986,,
42,SAC,sean-singletary,sean-singletary,Virginia,2008,72,185,9/6/1985,72,185
43,SAC,patrick-ewing,patrick-ewing,Georgetown,2008,80,235,5/20/1984,80,240
44,UTA,ante-tomić,ante-tomic,,2008,86,265,2/17/1987,,
45,SAS,goran-dragić,goran-dragic,,2008,75,190,5/6/1986,,
46,SEA,trent-plaisted,trent-plaisted,Brigham Young University Hawaii,2008,,,,,
47,WAS,henry-walker,henry-walker,Kansas State,2008,78,220,10/9/1987,78,220
48,PHO,malik-hairston,malik-hairston,Oregon,2008,78,220,2/23/1987,78,220
49,GSW,richard-hendrix,richard-hendrix,Alabama,2008,,,,,
50,SEA,devon-hardin,devon-hardin,California,2008,83,250,8/7/1986,83,250
51,DAL,shan-foster,shan-foster,Vanderbilt,2008,,,,,
52,MIA,darnell-jackson,darnell-jackson,Kansas,2008,81,253,11/7/1985,81,253
53,UTA,tadija-dragićević,tadija-dragicevic,,2008,81,222,1/28/1986,,
54,HOU,maarty-leunen,maarty-leunen,Oregon,2008,81,220,9/3/1985,81,220
55,POR,mike-taylor,mike-taylor,Iowa State,2008,74,165,1/21/1986,74,165
56,SEA,sasha-kaun,sasha-kaun,Kansas,2008,83,260,5/8/1985,83,250
57,SAS,james-gist,james-gist,Maryland,2008,,,,,
58,LAL,joe-crawford,joe-crawford,Kentucky,2008,77,210,6/17/1986,77,210
59,DET,deron-washington,deron-washington,Virginia Tech,2008,,,,,
60,BOS,semih-erden,semih-erden,,2008,84,240,7/28/1986,,
1,LAC,blake-griffin,blake-griffin,Oklahoma,2009,81,250,3/16/1989,82,251
2,MEM,hasheem-thabeet,hasheem-thabeet,UConn,2009,87,263,2/16/1987,87,263
3,OKC,james-harden,james-harden,Arizona State,2009,77,220,8/26/1989,77,218
4,SAC,tyreke-evans,tyreke-evans,Memphis,2009,78,220,9/19/1989,78,219
5,MIN,ricky-rubio,ricky-rubio,,2009,75,190,10/21/1990,,
6,MIN,jonny-flynn,jonny-flynn,Syracuse,2009,72,185,2/6/1989,72,185
7,GSW,stephen-curry,stephen-curry,Davidson,2009,75,185,3/14/1988,75,185
8,NYK,jordan-hill,jordan-hill,Arizona,2009,82,235,7/27/1987,82,235
9,TOR,demar-derozan,demar-derozan,USC,2009,78,220,8/7/1989,79,220
10,MIL,brandon-jennings,brandon-jennings,,2009,73,170,9/23/1989,,
11,NJN,terrence-williams,terrence-williams,Louisville,2009,78,220,6/28/1987,78,220
12,CHA,gerald-henderson,gerald-henderson,Duke,2009,77,215,12/9/1987,77,215
13,IND,tyler-hansbrough,tyler-hansbrough,UNC,2009,81,250,11/3/1985,81,250
14,PHO,earl-clark,earl-clark,Louisville,2009,82,225,1/17/1988,81,225
15,DET,austin-daye,austin-daye,Gonzaga,2009,83,220,6/5/1988,83,200
16,CHI,james-johnson,james-johnson,Wake Forest,2009,79,240,2/20/1987,80,245
17,PHI,jrue-holiday,jrue-holiday,UCLA,2009,75,205,6/12/1990,75,180
18,MIN,ty-lawson,ty-lawson,UNC,2009,71,195,11/3/1987,71,195
19,ATL,jeff-teague,jeff-teague,Wake Forest,2009,75,195,6/10/1988,74,180
20,UTA,eric-maynor,eric-maynor,VCU,2009,75,175,6/11/1987,74,175
21,NOH,darren-collison,darren-collison,UCLA,2009,72,175,8/23/1987,73,160
22,POR,victor-claver,victor-claver,,2009,81,224,8/30/1988,,
23,SAC,omri-casspi,omri-casspi,,2009,81,225,6/22/1988,,
24,DAL,byron-mullens,byron-mullens,Ohio State,2009,84,275,2/14/1989,84,275
25,OKC,rodrigue-beaubois,rodrigue-beaubois,,2009,72,170,2/24/1988,,
26,CHI,taj-gibson,taj-gibson,USC,2009,81,232,6/24/1985,81,225
27,MEM,demarre-carroll,demarre-carroll,Missouri,2009,78,215,7/27/1986,80,225
28,MIN,wayne-ellington,wayne-ellington,UNC,2009,76,207,11/29/1987,76,200
29,LAL,toney-douglas,toney-douglas,Florida State,2009,74,195,3/16/1986,73,205
30,CLE,christian-eyenga,christian-eyenga,,2009,77,210,6/22/1989,,
31,SAC,jeff-ayres,jeff-ayres,Arizona State,2009,81,240,4/29/1987,82,240
32,WAS,jermaine-taylor,jermaine-taylor,Central Florida,2009,76,210,12/8/1986,76,205
33,POR,dante-cunningham,dante-cunningham,Villanova,2009,80,230,4/22/1987,81,230
34,DEN,sergio-llull,sergio-llull,,2009,75,190,11/15/1987,,
35,DET,dajuan-summers,dajuan-summers,Georgetown,2009,80,230,1/24/1988,80,236
36,MEM,sam-young,sam-young,Pitt,2009,78,220,6/1/1985,78,220
37,SAS,dejuan-blair,dejuan-blair,Pitt,2009,79,270,4/22/1989,79,265
38,POR,jon-brockman,jon-brockman,Washington,2009,79,255,3/20/1987,79,255
39,DET,jonas-jerebko,jonas-jerebko,,2009,82,231,3/2/1987,,
40,CHA,derrick-brown,derrick-brown,Xavier,2009,79,225,9/8/1987,80,227
41,MIL,jodie-meeks,jodie-meeks,Kentucky,2009,76,210,8/21/1987,77,208
42,LAL,patrick-beverley,patrick-beverley,Arkansas,2009,73,180,7/12/1988,73,180
43,MIA,marcus-thornton,marcus-thornton,LSU,2009,76,205,6/5/1987,76,205
44,DET,chase-budinger,chase-budinger,Arizona,2009,79,209,5/22/1988,79,218
45,MIN,nick-calathes,nick-calathes,Florida,2009,78,213,2/7/1989,78,194
46,CLE,danny-green,danny-green,UNC,2009,78,215,6/22/1987,77,210
47,MIN,henk-norel,henk-norel,,2009,83,230,9/17/1987,,
48,PHO,taylor-griffin,taylor-griffin,Oklahoma,2009,79,238,4/18/1986,79,238
49,ATL,sergiy-gladyr,sergiy-gladyr,,2009,77,190,10/17/1989,,
50,UTA,goran-suton,goran-suton,Michigan State,2009,,,,,
51,SAS,jack-mcclinton,jack-mcclinton,Miami (FL),2009,,,,,
52,IND,a.j.-price,a.j.-price,UConn,2009,74,181,10/7/1986,74,181
53,SAS,nando-de-colo,nando-de-colo,,2009,77,200,6/23/1987,,
54,CHA,robert-vaden,robert-vaden,UAB,2009,,,,,
55,POR,patty-mills,patty-mills,Saint Mary's,2009,73,180,8/11/1988,72,180
56,DAL,ahmad-nivins,ahmad-nivins,Saint Joseph's,2009,,,,,
57,PHO,emir-preldžić,emir-preldzic,,2009,81,220,9/6/1987,,
58,BOS,lester-hudson,lester-hudson,University of Tennessee at Martin,2009,75,190,8/7/1984,75,190
59,LAL,chinemelu-elonu,chinemelu-elonu,Texas A&M,2009,82,235,3/11/1987,82,235
60,MIA,robert-dozier,robert-dozier,Memphis,2009,,,,,
1,WAS,john-wall,john-wall,Kentucky,2010,75,210,9/6/1990,76,195
2,PHI,evan-turner,evan-turner,Ohio State,2010,78,220,10/27/1988,79,210
3,NJN,derrick-favors,derrick-favors,Georgia Tech,2010,80,265,7/15/1991,82,246
4,MIN,wesley-johnson,wesley-johnson,Syracuse,2010,79,215,7/11/1987,79,205
5,SAC,demarcus-cousins,demarcus-cousins,Kentucky,2010,82,270,8/13/1990,83,270
6,GSW,ekpe-udoh,ekpe-udoh,Baylor,2010,82,245,5/20/1987,82,240
7,DET,greg-monroe,greg-monroe,Georgetown,2010,83,265,6/4/1990,83,247
8,LAC,al-farouq-aminu,al-farouq-aminu,Wake Forest,2010,80,220,9/21/1990,81,215
9,UTA,gordon-hayward,gordon-hayward,Butler,2010,79,225,3/23/1990,80,207
10,IND,paul-george,paul-george,Fresno State,2010,80,220,5/2/1990,79,210
11,NOH,cole-aldrich,cole-aldrich,Kansas,2010,83,250,10/31/1988,83,245
12,MEM,xavier-henry,xavier-henry,Kansas,2010,78,220,3/15/1991,78,220
13,TOR,ed-davis,ed-davis,UNC,2010,81,218,6/5/1989,82,225
14,HOU,patrick-patterson,patrick-patterson,Kentucky,2010,80,235,3/14/1989,81,235
15,MIL,larry-sanders,larry-sanders,VCU,2010,83,235,11/21/1988,82,235
16,MIN,luke-babbitt,luke-babbitt,Nevada,2010,81,225,6/20/1989,81,225
17,CHI,kevin-séraphin,kevin-seraphin,,2010,81,285,12/7/1989,,
18,OKC,eric-bledsoe,eric-bledsoe,Kentucky,2010,73,214,12/9/1989,73,190
19,BOS,avery-bradley,avery-bradley,Texas,2010,75,180,11/26/1990,74,180
20,SAS,james-anderson,james-anderson,Oklahoma State,2010,78,213,3/25/1989,78,210
21,OKC,craig-brackins,craig-brackins,Iowa State,2010,82,230,10/9/1987,82,230
22,POR,elliot-williams,elliot-williams,Memphis,2010,77,190,6/20/1989,76,180
23,MIN,trevor-booker,trevor-booker,Clemson,2010,80,228,11/25/1987,79,240
24,ATL,damion-james,damion-james,Texas,2010,79,225,10/7/1987,79,225
25,MEM,dominique-jones,dominique-jones,South Florida,2010,76,215,10/15/1988,76,205
26,OKC,quincy-pondexter,quincy-pondexter,Washington,2010,79,230,3/10/1988,79,215
27,NJN,jordan-crawford,jordan-crawford,Xavier,2010,76,195,10/23/1988,76,195
28,MEM,greivis-vásquez,greivis-vasquez,Maryland,2010,78,217,1/16/1987,78,200
29,ORL,daniel-orton,daniel-orton,Kentucky,2010,82,255,8/6/1990,83,255
30,WAS,lazar-hayward,lazar-hayward,Marquette,2010,78,225,11/26/1986,78,225
31,NJN,tibor-pleiß,tibor-plei,,2010,87,256,11/2/1989,,
32,MIA,dexter-pittman,dexter-pittman,Texas,2010,83,308,3/2/1988,82,290
33,SAC,hassan-whiteside,hassan-whiteside,Marshall,2010,84,265,6/13/1989,84,235
34,POR,armon-johnson,armon-johnson,Nevada,2010,75,195,2/23/1989,75,195
35,WAS,nemanja-bjelica,nemanja-bjelica,,2010,82,234,5/9/1988,,
36,DET,terrico-white,terrico-white,Ole Miss,2010,,,,,
37,MIL,darington-hobson,darington-hobson,New Mexico,2010,79,210,9/29/1987,79,205
38,NYK,andy-rautins,andy-rautins,Syracuse,2010,76,190,11/2/1986,77,195
39,NYK,landry-fields,landry-fields,Stanford,2010,79,210,6/27/1988,79,215
40,IND,lance-stephenson,lance-stephenson,Cincinnati,2010,78,230,9/5/1990,77,210
41,MIA,jarvis-varnado,jarvis-varnado,Mississippi State,2010,81,230,3/1/1988,81,230
42,MIA,da'sean-butler,da'sean-butler,West Virginia,2010,,,,,
43,LAL,devin-ebanks,devin-ebanks,West Virginia,2010,81,215,10/28/1989,81,215
44,MIL,jerome-jordan,jerome-jordan,Tulsa,2010,84,253,9/29/1986,84,251
45,MIN,paulão-prestes,paulao-prestes,,2010,83,260,2/15/1988,,
46,PHO,gani-lawal,gani-lawal,Georgia Tech,2010,81,234,11/7/1988,81,234
47,MIL,tiny-gallon,tiny-gallon,Oklahoma,2010,,,,,
48,MIA,latavious-williams,latavious-williams,,2010,80,195,3/29/1989,,
49,SAS,ryan-richards,ryan-richards,,2010,83,265,4/24/1991,,
50,DAL,solomon-alabi,solomon-alabi,Florida State,2010,85,251,3/21/1988,85,251
51,OKC,magnum-rolle,magnum-rolle,Louisiana Tech,2010,,,,,
52,BOS,luke-harangody,luke-harangody,Notre Dame,2010,80,246,1/2/1988,80,246
53,ATL,pape-sy,pape-sy,,2010,79,225,4/5/1988,,
54,LAC,willie-warren,willie-warren,Oklahoma,2010,76,203,10/22/1989,76,199
55,UTA,jeremy-evans,jeremy-evans,Western Kentucky,2010,81,200,10/24/1987,81,196
56,MIN,hamady-n'diaye,hamady-n'diaye,Rutgers University,2010,84,235,1/12/1987,84,235
57,IND,ryan-reid,ryan-reid,Florida State,2010,80,232,10/30/1986,80,235
58,LAL,derrick-caracter,derrick-caracter,Texas-El Paso,2010,81,275,5/4/1988,81,275
59,ORL,stanley-robinson,stanley-robinson,UConn,2010,,,,,
60,PHO,dwayne-collins,dwayne-collins,Miami (FL),2010,81,240,4/13/1988,80,241
1,CLE,kyrie-irving,kyrie-irving,Duke,2011,74,195,3/23/1992,74,180
2,MIN,derrick-williams,derrick-williams,Arizona,2011,80,240,5/25/1991,80,235
3,UTA,enes-kanter,enes-kanter,,2011,82,250,5/20/1992,,
4,CLE,tristan-thompson,tristan-thompson,Texas,2011,81,254,3/13/1991,80,225
5,TOR,jonas-valančiūnas,jonas-valanciunas,,2011,83,265,5/6/1992,,
6,WAS,jan-veselý,jan-vesely,,2011,83,240,4/24/1990,,
7,SAC,bismack-biyombo,bismack-biyombo,,2011,80,255,8/28/1992,,
8,DET,brandon-knight,brandon-knight,Kentucky,2011,74,182,12/2/1991,75,185
9,CHA,kemba-walker,kemba-walker,UConn,2011,72,184,5/8/1990,73,172
10,MIL,jimmer-fredette,jimmer-fredette,BYU,2011,74,195,2/25/1989,74,195
11,GSW,klay-thompson,klay-thompson,Washington State,2011,78,215,2/8/1990,78,200
12,UTA,alec-burks,alec-burks,Colorado,2011,78,214,7/20/1991,78,195
13,PHO,markieff-morris,markieff-morris,Kansas,2011,81,245,9/2/1989,82,245
14,HOU,marcus-morris,marcus-morris,Kansas,2011,80,218,9/2/1989,81,235
15,IND,kawhi-leonard,kawhi-leonard,San Diego State,2011,79,225,6/29/1991,79,225
16,PHI,nikola-vučević,nikola-vucevic,USC,2011,83,260,10/24/1990,82,220
17,NYK,iman-shumpert,iman-shumpert,Georgia Tech,2011,77,215,6/26/1990,77,212
18,WAS,chris-singleton,chris-singleton,Florida State,2011,80,230,11/21/1989,81,220
19,CHA,tobias-harris,tobias-harris,Tennessee,2011,80,226,7/15/1992,80,226
20,MIN,donatas-motiejūnas,donatas-motiejunas,,2011,84,222,9/20/1990,,
21,POR,nolan-smith,nolan-smith,Duke,2011,74,185,7/25/1988,74,185
22,DEN,kenneth-faried,kenneth-faried,Morehead State University,2011,80,220,11/19/1989,80,228
23,HOU,nikola-mirotić,nikola-mirotic,,2011,82,250,2/11/1991,,
24,OKC,reggie-jackson,reggie-jackson,Boston College,2011,74,208,4/16/1990,75,208
25,BOS,marshon-brooks,marshon-brooks,Providence,2011,77,200,1/26/1989,77,200
26,DAL,jordan-hamilton,jordan-hamilton,Texas,2011,79,220,10/6/1990,79,220
27,NJN,jajuan-johnson,jajuan-johnson,Purdue,2011,82,221,2/8/1989,82,221
28,CHI,norris-cole,norris-cole,Cleveland State University,2011,74,175,10/13/1988,74,170
29,SAS,cory-joseph,cory-joseph,Texas,2011,75,200,8/20/1991,75,185
30,CHI,jimmy-butler,jimmy-butler,Marquette,2011,79,230,9/14/1989,79,220
31,MIA,bojan-bogdanović,bojan-bogdanovic,,2011,80,226,4/18/1989,,
32,CLE,justin-harper,justin-harper,Richmond,2011,82,225,8/30/1989,82,225
33,DET,kyle-singler,kyle-singler,Duke,2011,80,228,5/4/1988,80,230
34,WAS,shelvin-mack,shelvin-mack,Butler,2011,75,203,4/22/1990,75,215
35,SAC,tyler-honeycutt,tyler-honeycutt,UCLA,2011,80,188,7/15/1990,81,180
36,NJN,jordan-williams,jordan-williams,Maryland,2011,82,260,10/11/1990,82,260
37,LAC,trey-thompkins,trey-thompkins,Georgia,2011,82,245,5/20/1990,82,245
38,HOU,chandler-parsons,chandler-parsons,Florida,2011,81,230,10/25/1988,81,215
39,CHA,jeremy-tyler,jeremy-tyler,,2011,82,260,6/21/1991,,
40,MIL,jon-leuer,jon-leuer,Wisconsin,2011,82,228,5/14/1989,82,228
41,LAL,darius-morris,darius-morris,Michigan,2011,76,190,1/3/1991,76,190
42,IND,dāvis-bertāns,davis-bertans,,2011,82,225,11/12/1992,,
43,CHI,malcolm-lee,malcolm-lee,UCLA,2011,77,200,5/22/1990,77,180
44,GSW,charles-jenkins,charles-jenkins,Hofstra,2011,75,220,2/28/1989,75,220
45,NOH,josh-harrellson,josh-harrellson,Kentucky,2011,82,275,2/12/1989,82,275
46,LAL,andrew-goudelock,andrew-goudelock,College of Charleston,2011,75,200,12/7/1988,74,200
47,LAC,travis-leslie,travis-leslie,Georgia,2011,76,205,3/29/1990,76,205
48,ATL,keith-benson,keith-benson,Oakland,2011,83,240,8/13/1988,83,230
49,MEM,josh-selby,josh-selby,Kansas,2011,74,183,3/27/1991,74,183
50,PHI,lavoy-allen,lavoy-allen,Temple,2011,81,260,2/4/1989,81,225
51,POR,jon-diebler,jon-diebler,Ohio State,2011,78,205,6/22/1988,78,205
52,DET,vernon-macklin,vernon-macklin,Florida,2011,82,227,9/20/1986,81,245
53,ORL,deandre-liggins,deandre-liggins,Kentucky,2011,78,209,3/31/1988,78,210
54,CLE,milan-mačvan,milan-macvan,,2011,81,265,11/16/1989,,
55,BOS,e'twaun-moore,e'twaun-moore,Purdue,2011,75,191,2/25/1989,76,191
56,LAL,chukwudiebere-maduabum,chukwudiebere-maduabum,,2011,81,210,3/19/1991,,
57,DAL,targuy-ngombo,targuy-ngombo,,2011,,,,,
58,LAL,ater-majok,ater-majok,,2011,82,233,7/4/1987,82,233
59,SAS,ádám-hanga,adam-hanga,,2011,79,205,4/12/1989,,
60,SAC,isaiah-thomas,isaiah-thomas,Washington,2011,69,185,2/7/1989,68,185
1,NOH,anthony-davis,anthony-davis,Kentucky,2012,82,253,3/11/1993,82,220
2,CHA,michael-kidd-gilchrist,michael-kidd-gilchrist,Kentucky,2012,78,232,9/26/1993,79,232
3,WAS,bradley-beal,bradley-beal,Florida,2012,75,207,6/28/1993,75,207
4,CLE,dion-waiters,dion-waiters,Syracuse,2012,75,215,12/10/1991,76,215
5,SAC,thomas-robinson,thomas-robinson,Kansas,2012,82,237,3/17/1991,81,237
6,POR,damian-lillard,damian-lillard,Weber State,2012,74,195,7/15/1990,74,185
7,GSW,harrison-barnes,harrison-barnes,UNC,2012,80,225,5/30/1992,80,215
8,TOR,terrence-ross,terrence-ross,Washington,2012,78,206,2/5/1991,78,195
9,DET,andre-drummond,andre-drummond,UConn,2012,82,279,8/10/1993,82,270
10,NOH,austin-rivers,austin-rivers,Duke,2012,76,200,8/1/1992,76,200
11,POR,meyers-leonard,meyers-leonard,Illinois,2012,84,260,2/27/1992,85,245
12,HOU,jeremy-lamb,jeremy-lamb,UConn,2012,77,180,5/30/1992,77,180
13,PHO,kendall-marshall,kendall-marshall,UNC,2012,76,200,8/19/1991,76,195
14,MIL,john-henson,john-henson,UNC,2012,81,219,12/28/1990,83,220
15,PHI,maurice-harkless,maurice-harkless,St. John's,2012,79,220,5/11/1993,80,208
16,HOU,royce-white,royce-white,Iowa State,2012,80,270,4/10/1991,80,270
17,DAL,tyler-zeller,tyler-zeller,UNC,2012,84,253,1/17/1990,84,250
18,HOU,terrence-jones,terrence-jones,Kentucky,2012,81,252,1/9/1992,81,252
19,ORL,andrew-nicholson,andrew-nicholson,St. Bonaventure,2012,81,250,12/8/1989,81,240
20,DEN,evan-fournier,evan-fournier,,2012,79,205,10/29/1992,,
21,BOS,jared-sullinger,jared-sullinger,Ohio State,2012,81,260,3/4/1992,81,265
22,BOS,fab-melo,fab-melo,Syracuse,2012,84,255,6/20/1990,84,244
23,ATL,john-jenkins,john-jenkins,Vanderbilt,2012,76,215,3/6/1991,76,215
24,CLE,jared-cunningham,jared-cunningham,Oregon State,2012,76,195,5/22/1991,76,194
25,MEM,tony-wroten,tony-wroten,Washington,2012,78,205,4/13/1993,77,205
26,IND,miles-plumlee,miles-plumlee,Duke,2012,83,249,9/1/1988,82,245
27,MIA,arnett-moultrie,arnett-moultrie,Mississippi State,2012,83,249,11/18/1990,83,249
28,OKC,perry-jones,perry-jones,Baylor,2012,83,235,9/24/1991,83,235
29,CHI,marquis-teague,marquis-teague,Kentucky,2012,74,189,2/28/1993,74,189
30,GSW,festus-ezeli,festus-ezeli,Vanderbilt,2012,83,255,10/21/1989,83,255
31,CHA,jeff-taylor,jeff-taylor,Vanderbilt,2012,79,225,5/23/1989,79,225
32,WAS,tomáš-satoranský,tomas-satoransky,,2012,79,210,10/30/1991,,
33,CLE,bernard-james,bernard-james,Florida State,2012,82,240,2/7/1985,82,240
34,CLE,jae-crowder,jae-crowder,Marquette,2012,78,235,7/6/1990,78,235
35,GSW,draymond-green,draymond-green,Michigan State,2012,78,230,3/4/1990,79,230
36,SAC,orlando-johnson,orlando-johnson,UC Santa Barbara,2012,77,220,3/11/1989,77,205
37,TOR,quincy-acy,quincy-acy,Baylor,2012,79,240,10/6/1990,79,235
38,DEN,quincy-miller,quincy-miller,Baylor,2012,81,210,11/18/1992,81,210
39,DET,khris-middleton,khris-middleton,Texas A&M,2012,79,222,8/12/1991,79,217
40,POR,will-barton,will-barton,Memphis,2012,78,181,1/6/1991,78,175
41,POR,tyshawn-taylor,tyshawn-taylor,Kansas,2012,75,185,4/12/1990,75,185
42,MIL,doron-lamb,doron-lamb,Kentucky,2012,76,210,11/6/1991,76,210
43,ATL,mike-scott,mike-scott,Virginia,2012,79,237,7/16/1988,80,237
44,DET,kim-english,kim-english,Missouri,2012,78,200,9/24/1988,78,200
45,PHI,justin-hamilton,justin-hamilton,LSU,2012,84,260,4/1/1990,84,260
46,NOH,darius-miller,darius-miller,Kentucky,2012,78,225,3/21/1990,80,225
47,UTA,kevin-murphy,kevin-murphy,Tennessee Technological University,2012,77,185,3/6/1990,79,185
48,NYK,kostas-papanikolaou,kostas-papanikolaou,,2012,80,225,7/31/1990,,
49,ORL,kyle-o'quinn,kyle-o'quinn,Norfolk State,2012,81,250,3/26/1990,82,240
50,DEN,i̇zzet-türkyılmaz,izzet-turkylmaz,,2012,84,210,5/20/1990,,
51,BOS,kris-joseph,kris-joseph,Syracuse,2012,79,210,12/17/1988,79,210
52,GSW,ognjen-kuzmić,ognjen-kuzmic,,2012,85,251,5/16/1990,,
53,LAC,furkan-aldemir,furkan-aldemir,,2012,82,240,8/9/1991,,
54,PHI,tornike-shengelia,tornike-shengelia,,2012,81,217,10/5/1991,,
55,DAL,darius-johnson-odom,darius-johnson-odom,Marquette,2012,74,215,9/28/1989,74,215
56,TOR,tomislav-zubčić,tomislav-zubcic,,2012,83,212,1/7/1990,,
57,NJN,i̇lkan-karaman,ilkan-karaman,,2012,81,254,5/13/1990,,
58,MIN,robbie-hummel,robbie-hummel,Purdue,2012,80,215,3/8/1989,80,215
59,SAS,marcus-denmon,marcus-denmon,Missouri,2012,75,185,3/20/1990,75,185
60,LAL,robert-sacre,robert-sacre,Gonzaga,2012,84,270,6/6/1989,84,260
1,CLE,anthony-bennett,anthony-bennett,UNLV,2013,80,245,3/14/1993,80,240
2,ORL,victor-oladipo,victor-oladipo,Indiana,2013,76,213,5/4/1992,77,214
3,WAS,otto-porter,otto-porter,Georgetown,2013,80,198,6/3/1993,80,205
4,CHA,cody-zeller,cody-zeller,Indiana,2013,83,240,10/5/1992,84,240
5,PHO,alex-len,alex-len,Maryland,2013,84,250,6/16/1993,85,225
6,NOH,nerlens-noel,nerlens-noel,Kentucky,2013,83,220,4/10/1994,82,228
7,SAC,ben-mclemore,ben-mclemore,Kansas,2013,75,195,2/11/1993,77,195
8,DET,kentavious-caldwell-pope,kentavious-caldwell-pope,Georgia,2013,77,204,2/18/1993,77,205
9,MIN,trey-burke,trey-burke,Michigan,2013,72,185,11/12/1992,72,190
10,POR,cj-mccollum,cj-mccollum,Lehigh,2013,75,190,9/19/1991,75,180
11,PHI,michael-carter-williams,michael-carter-williams,Syracuse,2013,77,190,10/10/1991,78,185
12,OKC,steven-adams,steven-adams,Pitt,2013,83,265,7/20/1993,84,250
13,DAL,kelly-olynyk,kelly-olynyk,Gonzaga,2013,83,240,4/19/1991,84,238
14,UTA,shabazz-muhammad,shabazz-muhammad,UCLA,2013,78,223,11/13/1992,78,225
15,MIL,giannis-antetokounmpo,giannis-antetokounmpo,,2013,83,242,12/6/1994,,
16,BOS,lucas-nogueira,lucas-nogueira,,2013,84,241,7/26/1992,,
17,ATL,dennis-schröder,dennis-schroder,,2013,75,172,9/15/1993,,
18,ATL,shane-larkin,shane-larkin,Miami (FL),2013,71,175,10/2/1992,71,176
19,CLE,sergey-karasev,sergey-karasev,,2013,79,208,10/26/1993,,
20,CHI,tony-snell,tony-snell,New Mexico,2013,78,213,11/10/1991,79,200
21,UTA,gorgui-dieng,gorgui-dieng,Louisville,2013,82,252,1/18/1990,83,245
22,BRK,mason-plumlee,mason-plumlee,Duke,2013,83,254,3/5/1990,82,235
23,IND,solomon-hill,solomon-hill,Arizona,2013,78,226,3/18/1991,79,220
24,NYK,tim-hardaway-jr.,tim-hardaway-jr.,Michigan,2013,77,205,3/16/1992,78,205
25,LAC,reggie-bullock,reggie-bullock,UNC,2013,78,205,3/16/1991,79,205
26,MIN,andre-roberson,andre-roberson,Colorado,2013,79,210,12/4/1991,79,210
27,DEN,rudy-gobert,rudy-gobert,,2013,84,258,6/26/1992,,
28,SAS,livio-jean-charles,livio-jean-charles,,2013,81,230,11/8/1993,,
29,OKC,archie-goodwin,archie-goodwin,Kentucky,2013,77,200,8/17/1994,77,198
30,PHO,nemanja-nedović,nemanja-nedovic,,2013,75,192,6/16/1991,,
31,CLE,allen-crabbe,allen-crabbe,California,2013,77,212,4/9/1992,78,210
32,OKC,álex-abrines,alex-abrines,,2013,78,200,8/1/1993,,
33,CLE,carrick-felix,carrick-felix,Arizona State,2013,78,201,8/17/1990,78,197
34,HOU,isaiah-canaan,isaiah-canaan,Murray State,2013,72,201,5/21/1991,73,195
35,PHI,glen-rice-jr.,glen-rice-jr.,Georgia Tech,2013,78,206,1/1/1991,77,206
36,SAC,ray-mccallum,ray-mccallum,Detroit Mercy,2013,75,190,6/12/1991,75,190
37,DET,tony-mitchell,tony-mitchell,University of North Texas,2013,80,235,4/7/1992,80,235
38,WAS,nate-wolters,nate-wolters,South Dakota State,2013,76,190,5/15/1991,76,193
39,POR,jeff-withey,jeff-withey,Kansas,2013,84,231,3/7/1990,84,235
40,POR,grant-jerrett,grant-jerrett,Arizona,2013,82,235,7/8/1993,82,235
41,MEM,jamaal-franklin,jamaal-franklin,San Diego State,2013,77,191,7/21/1991,77,205
42,PHI,pierre-jackson,pierre-jackson,Baylor,2013,70,180,8/29/1991,70,180
43,MIL,ricky-ledo,ricky-ledo,Providence,2013,79,195,9/10/1992,,
44,DAL,mike-muscala,mike-muscala,Bucknell,2013,82,240,7/1/1991,83,234
45,POR,marko-todorović,marko-todorovic,,2013,82,243,4/19/1992,,
46,UTA,erick-green,erick-green,Virginia Tech,2013,76,185,5/9/1991,75,185
47,ATL,raul-neto,raul-neto,,2013,73,180,5/19/1992,,
48,LAL,ryan-kelly,ryan-kelly,Duke,2013,83,230,4/9/1991,83,230
49,CHI,erik-murphy,erik-murphy,Florida,2013,82,230,10/26/1990,82,238
50,ATL,james-ennis,james-ennis,Cal State Long Beach,2013,78,215,7/1/1990,79,210
51,ORL,romero-osby,romero-osby,Oklahoma,2013,80,240,5/7/1990,80,232
52,MIN,lorenzo-brown,lorenzo-brown,NC State,2013,77,189,8/26/1990,77,186
53,IND,colton-iverson,colton-iverson,Colorado State,2013,84,255,6/29/1989,82,261
54,WAS,arsalan-kazemi,arsalan-kazemi,Oregon,2013,79,226,4/22/1990,79,226
55,MEM,joffrey-lauvergne,joffrey-lauvergne,,2013,83,220,9/30/1991,,
56,DET,peyton-siva,peyton-siva,Louisville,2013,72,185,10/24/1990,72,185
57,PHO,alex-oriakhi,alex-oriakhi,Missouri,2013,81,255,6/21/1990,81,225
